Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-21 01:35:56,Phayao,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",19.200226,99.893048,0.1,-8.2,12.1,6.4,13.1,965.7,77.0,116.0,,,22.5,1.0,2025-02-21 08:00:00
2025-02-21 01:35:56,Bangkok,Bangkok,13.7563309,100.5017651,0.1,,87.4,5.2,4.4,1010.5,43.0,135.0,0.2,0.6,28.4,1.5,2025-02-21 08:00:00
2025-02-21 01:35:57,Trat,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",12.234862,102.523721,0.1,24.3,87.7,3.5,5.6,1007.5,40.0,97.0,1.6,1.1,26.2,0.5,2025-02-21 08:00:00
2025-02-21 01:35:57,Nonthaburi,"Sukhothai Thammathirat Open University, Nonthaburi, Thailand (มหาวิทยาลัยสุโขทัยธรรมาธิราช)",13.907861,100.535641,0.1,24.0,74.0,23.1,6.4,1012.0,52.0,119.0,,0.6,29.0,3.0,2025-02-21 08:00:00
2025-02-21 01:35:58,Nan,"Municipality Office, Nan, Thailand (สำนักงานเทศบาลเมืองน่าน)",18.7888833,100.7763166,0.1,-8.8,11.1,1.2,1.6,990.0,67.0,135.0,99.2,0.6,23.2,0.5,2025-02-21 07:00:00
2025-02-21 01:35:58,Ubon Ratchathani,"Nai Mueang,Mueang,Ubon Ratchathani , Thailand (ต.ในเมือง อ.เมือง จ.อุบลราชธานี)",15.245413,104.846219,0.1,18.0,73.0,0.6,9.5,1013.0,30.0,60.0,,0.6,23.0,3.6,2025-02-21 08:00:00
2025-02-21 01:35:59,Samut Sakhon,"Provincial Administrative Organization, Samut Sakhon, Thailand (องค์การบริหารส่วนจังหวัดสมุทรสาคร)",13.5502631,100.2647676,,26.1,87.4,7.5,2.8,1010.5,33.0,107.0,2.0,0.6,28.4,1.5,2025-02-21 08:00:00
2025-02-21 01:35:59,Chiang Mai,Chiang Mai,18.787747,98.9931284,,,12.0,7.5,14.6,975.3,82.0,86.0,,0.6,24.8,0.5,2025-02-21 08:00:00
2025-02-21 01:36:00,Mueang Chiang Rai,Mueang Chiang Rai,19.9104798,99.840576,0.1,,84.3,0.6,12.7,979.4,40.0,90.0,,,20.0,1.5,2025-02-21 08:00:00
2025-02-21 01:36:00,Ayutthaya,"Ayutthaya Witthayalai School, Ayutthaya, Thailand (โรงเรียนอยุธยาวิทยาลัย)",14.35222,100.565325,0.1,25.3,84.8,3.5,5.2,1011.4,64.0,138.0,0.5,0.6,25.8,1.0,2025-02-21 08:00:00
2025-02-21 01:36:01,Uttaradit,"72nd Anniversary King Bhumibol Public Park, Uttaradit, Thailand (สวนมหามงคลเฉลิมพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552 อุตรดิตถ์)",17.631352,100.09896,,-8.2,10.0,7.5,6.7,1003.9,51.0,109.0,0.8,0.6,25.7,1.0,2025-02-21 08:00:00
2025-02-21 01:36:01,Rayong,Rayong,12.707434,101.1473517,0.1,,8.7,11.0,16.6,1012.0,24.0,68.0,3.5,2.2,28.0,3.0,2025-02-21 08:00:00
